|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|index|Item_Identifier|Item_Weight|Item_Fat_Content|Item_Visibility|Item_Type|Item_MRP|Outlet_Identifier|Outlet_Establishment_Year|Outlet_Size|Outlet_Location_Type|Outlet_Type|Item_Outlet_Sales
20|20|20|20|20|20|20|20|20.0|20|FDN22|18.85|Regular|0.138190277|Snack Foods|250.8724|OUT013|1987|High|Tier 3|Supermarket Type1|3775.086
21|21|21|21|21|21|21|21|21.0|21|FDW12||Regular|0.035399923|Baking Goods|144.5444|OUT027|1985|Medium|Tier 3|Supermarket Type3|4064.0432
22|22|22|22|22|Allez au boulot ! :)|22|22|22.0|22|NCB30|14.6|Low Fat|0.025698133999999997|Household|196.5084|OUT035|2004|Small|Tier 2|Supermarket Type1|1587.2672
23|23|23|23|23|23|23|23|23.0|23|FDC37||Low Fat|0.057556998|Baking Goods|107.6938|OUT019|1985|Small|Tier 1|Grocery Store|214.3876
24|24|24|24|24|24|24|24|24.0|24|FDR28|13.85|Regular|0.025896485|Frozen Foods|165.021|OUT046|1997|Small|Tier 1|Supermarket Type1|4078.025
25|25|25|25|25|25|25|25|25.0|25|NCD06|13.0|Low Fat|0.099887103|Household|45.90600000000001|OUT017|2007||Tier 2|Supermarket Type1|838.908
26|26|26|26|26|26|26|26|26.0|26|FDV10|7.645|Regular|0.06669343700000001|Snack Foods|42.3112|OUT035|2004|Small|Tier 2|Supermarket Type1|1065.28
27|27|27|27|27|27|27|27|27.0||DRJ59|11.65|low fat|0.019356131999999998|Hard Drinks|39.1164|OUT013|1987|High|Tier 3|Supermarket Type1|308.9312
28|28|28|28|28|28|28|28|28.0|28|FDE51|5.925|Regular|0.161466534|Dairy|45.5086|OUT010|1998||Tier 3|Grocery Store|178.4344
29|29|29|29|29|29|29|29|29.0|29|FDC14||Regular|0.072221801|Canned|43.6454|OUT019|1985|Small|Tier 1|Grocery Store|125.8362
30|30|30|30|30|30|30|30|30.0|30|FDV38|19.25|Low Fat|0.17034855100000001|Dairy|55.7956|OUT010|1998||Tier 3|Grocery Store|163.7868
31|31|31|31|31|31|31|31|31.0|31|NCS17|18.6|Low Fat|0.080829372|Health and Hygiene|96.4436|OUT018|2009|Medium|Tier 3|Supermarket Type2|2741.7644
32|32|32|32|32|32|32|32|32.0|32|FDP33|18.7|Low Fat|0.0|Snack Foods|256.6672|OUT018|2009|Medium|Tier 3|Supermarket Type2|3068.0064
33|33|33|33|33|33|33|33|33.0|33|FDO23|17.85|Low Fat|0.0|Breads|93.1436|OUT045|2002||Tier 2|Supermarket Type1|2174.5028
34|34|34|34|34|34|34|34|34.0|34|DRH01|17.5|Low Fat|0.097904029|Soft Drinks|174.8738|OUT046|1997|Small|Tier 1|Supermarket Type1|2085.2856
35|35|35|35|35|35|35|35|35.0|35|NCX29|10.0|Low Fat|0.08929113699999999|Health and Hygiene|146.7102|OUT049|1999|Medium|Tier 1|Supermarket Type1|3791.0652
36|36|36|36|36|36|36|36|36.0|36|FDV20||Regular|0.059511812000000004|Fruits and Vegetables|128.0678|OUT027|1985|Medium|Tier 3|Supermarket Type3|2797.6916
37|37|37|37|37|37|37|37|37.0|37|DRZ11|8.85|Regular|0.113123893|Soft Drinks|122.5388|OUT018|2009|Medium|Tier 3|Supermarket Type2|1609.9044
38|38|38|38|38|38|38|38|38.0|38|FDX10||Regular|0.12311145300000001|Snack Foods|36.9874|OUT027|1985|Medium|Tier 3|Supermarket Type3|388.1614
39|39|39|39|39|39|39|39|39.0|39|FDB34||Low Fat|0.026480953999999998|Snack Foods|87.6198|OUT027|1985|Medium|Tier 3|Supermarket Type3|2180.495
40|40|40|40|40|40|40|40|40.0|40|FDU02|13.35|Low Fat|0.102511504|Dairy|230.6352|OUT046|1997|Small|Tier 1|Supermarket Type1|3435.528
41|41|41|41|41|41|41|41|41.0|41|FDK43|9.8|Low Fat|0.02681843|Meat|126.00200000000001|OUT013|1987|High|Tier 3|Supermarket Type1|2150.534
42|42|42|42|42|42|42|42|42.0|42|FDA46|13.6|Low Fat|0.117818348|Snack Foods|192.9136|OUT049|1999|Medium|Tier 1|Supermarket Type1|2527.3768
43|43|43|43|43|43|43|43|43.0|43|FDC02|21.35|Low Fat|0.06910283099999999|Canned|259.9278|OUT018|2009|Medium|Tier 3|Supermarket Type2|6768.5228
44|44|44|44|44|44|44|44|44.0|44|FDL50|12.15|Regular|0.042277867000000004|Canned|126.5046|OUT013|1987|High|Tier 3|Supermarket Type1|373.5138
45|45|45|45|45|45|45|45|45.0|45|FDM39|6.42|LF|0.08949892599999999|Dairy|178.1002|OUT010|1998||Tier 3|Grocery Store|358.2004
46|46|46|46|46|46|46|46|46.0|46|NCP05|19.6|Low Fat|0.0|Health and Hygiene|153.3024|OUT045|2002||Tier 2|Supermarket Type1|2428.8384
47|47|47|47|47|47|47|47|47.0|47|FDV49|10.0|Low Fat|0.025879577|Canned|265.2226|OUT045|2002||Tier 2|Supermarket Type1|5815.0972
48|48|48|48|48|48|48|48|48.0|48|FDL12|15.85|Regular|0.121632721|Baking Goods|60.622|OUT046|1997|Small|Tier 1|Supermarket Type1|2576.646
49|49|49|49|49|49|49|49|49.0|49|FDS02||Regular|0.25539489600000004|Dairy|196.8794|OUT019|1985|Small|Tier 1|Grocery Store|780.3176
50|50|50|50|50|50|50|50|50.0|50|NCL17|7.39|Low Fat|0.067779712|Health and Hygiene|143.8812|OUT046|1997|Small|Tier 1|Supermarket Type1|3134.5864
51|51|51|51|51|51|51|51|51.0|51|FDM40|10.195|Low Fat|0.159803853|Frozen Foods|141.5154|OUT013|1987|High|Tier 3|Supermarket Type1|850.8924
52|52|52|52|52|52|52|52|52.0|52|FDR13|9.895|Regular|0.028696932|Canned|117.0492|OUT013|1987|High|Tier 3|Supermarket Type1|810.9444
53|53|53|53|53|53|53|53|53.0|53|FDA43|10.895|Low Fat|0.065041581|Fruits and Vegetables|196.3794|OUT017|2007||Tier 2|Supermarket Type1|3121.2704
54|54|54|54|54|54|54|54|54.0|54|NCP18|12.15|Low Fat|0.028760012999999997|Household|151.4708|OUT017|2007||Tier 2|Supermarket Type1|4815.0656
55|55|55|55|55|55|55|55|55.0|55|FDK21|7.905|Low Fat|0.010053105|Snack Foods|249.0408|OUT018|2009|Medium|Tier 3|Supermarket Type2|6258.52
56|56|56|56|56|56|56|56|56.0|56|NCX54|9.195|Low Fat|0.048157338|Household|106.1622|OUT045|2002||Tier 2|Supermarket Type1|2117.244
57|57|57|57|57|57|57|57|57.0|57|DRK35|8.365|Low Fat|0.071958197|Hard Drinks|38.0506|OUT049|1999|Medium|Tier 1|Supermarket Type1|796.9626
58|58|58|58|58|58|58|58|58.0|58|FDY21|15.1|Low Fat|0.17348130399999998|Snack Foods|194.511|OUT046|1997|Small|Tier 1|Supermarket Type1|4910.275
59|59|59|59|59|59|59|59|59.0|59|FDI26||Low Fat|0.061082177|Canned|180.0344|OUT019|1985|Small|Tier 1|Grocery Store|892.172
60|60|60|60|60|60|60|60|60.0|60|FDM20|10.0|Low Fat|0.0|Fruits and Vegetables|246.9144|OUT018|2009|Medium|Tier 3|Supermarket Type2|3185.1872
61|61|61|61|61|61|61|61|61.0|61|FDV27|7.97|Regular|0.040071131|Meat|87.3514|OUT045|2002||Tier 2|Supermarket Type1|1062.6168
62|62|62|62|62|62|62|62|62.0|62|FDF09||Low Fat|0.012090074|Fruits and Vegetables|38.2848|OUT027|1985|Medium|Tier 3|Supermarket Type3|484.7024
63|63|63|63|63|63|63|63|63.0|63|FDY40||Regular|0.15028599|Frozen Foods|51.0692|OUT019|1985|Small|Tier 1|Grocery Store|147.8076
64|64|64|64|64|64|64|64|64.0|64|FDY45||Low Fat|0.026015518999999997|Snack Foods|255.8356|OUT027|1985|Medium|Tier 3|Supermarket Type3|2543.356
65|65|65|65|65|65|65|65|65.0|65|FDC46|17.7|LF|0.195068226|Snack Foods|185.4266|OUT010|1998||Tier 3|Grocery Store|184.4266
66|66|66|66|66|66|66|66|66.0|66|FDH19|19.35|Low Fat|0.033082215|Meat|172.5738|OUT035|2004|Small|Tier 2|Supermarket Type1|4865.6664
67|67|67|67|67|67|67|67|67.0|67|FDZ03|13.65|Regular|0.078946455|Dairy|186.024|OUT045|2002||Tier 2|Supermarket Type1|1118.5439999999999
68|68|68|68|68|68|68|68|68.0|68|DRH37|17.6|Low Fat|0.041700756|Soft Drinks|164.8526|OUT045|2002||Tier 2|Supermarket Type1|2302.3364
69|69|69|69|69|69|69|69|69.0|69|NCI17|8.645|Low Fat|0.14342264300000002|Health and Hygiene|95.84100000000001|OUT046|1997|Small|Tier 1|Supermarket Type1|2027.361
70|70|70|70|70|70|70|70|70.0|70|FDJ58|15.6|Regular|0.10529607199999999|Snack Foods|170.1764|OUT046|1997|Small|Tier 1|Supermarket Type1|3435.528
71|71|71|71|71|71|71|71|71.0|71|FDL12|15.85||0.121531501|Baking Goods|59.222|OUT013|1987|High|Tier 3|Supermarket Type1|599.22
72|72|72|72|72|72|72|72|72.0|72|FDH35|18.25|Low Fat|0.0|Starchy Foods|164.7526|OUT045|2002||Tier 2|Supermarket Type1|4604.6728
73|73|73|73|73|73|73|73|73.0|73|FDG02|7.855|Low Fat|0.011324862|Canned|189.6188|OUT017|2007||Tier 2|Supermarket Type1|2285.0256
74|74|74|74|74|74|courage!!!|74|74.0|74|NCZ18|7.825|low fat|0.186357148|Household|254.3698|OUT049|1999|Medium|Tier 1|Supermarket Type1|5580.7356
75|75|75|75|75|Allez au boulot ! :)|75|75|75.0|75|FDC29|8.39|Regular|0.024205661|Frozen Foods|114.0176|OUT046|1997|Small|Tier 1|Supermarket Type1|2290.3520000000008
76|76|76|76|76|76|76|76|Allez au boulot ! :)|76|FDQ10|12.85|Low Fat|0.033230816|Snack Foods|172.3422|OUT049|1999|Medium|Tier 1|Supermarket Type1|1207.0954
77|77|77|77|77|77|77|77|77.0|77|FDN48||Low Fat|0.113720344|Baking Goods|89.9804|OUT019|1985|Small|Tier 1|Grocery Store|643.1628
78|78|78|78|78|78|78|78|78.0|78|FDL04|19.0|Low Fat|0.11255650699999999|Frozen Foods|104.9622|OUT017|2007||Tier 2|Supermarket Type1|1587.933
79|79|79|79|79|79|79|79|79.0|79|FDV25|5.905|Low Fat|0.0|Canned|222.5456|OUT045|2002||Tier 2|Supermarket Type1|5305.0944
80|80|80|80|80|80|80|80|80.0|80|FDD58|7.76|Low Fat|0.059352240999999986|Snack Foods|101.87|OUT046|1997|Small|Tier 1|Supermarket Type1|1697.79
81|81|81|81|81|81|81|81|81.0|81|FDN04|11.8|reg|0.014087057|Frozen Foods|180.3344|OUT046|1997|Small|Tier 1|Supermarket Type1|1427.4752
82|82|82|82|82|82|82|Allez au boulot ! :)|Allez au boulot ! :)|82|FDV45|16.75|low fat|0.045230944|Snack Foods|187.9556|OUT018|2009|Medium|Tier 3|Supermarket Type2|4693.89
83|83|83|83|83|83|83|83|83.0|83|NCL18||Low Fat|0.293417759|Household|194.6136|OUT019|1985|Small|Tier 1|Grocery Store|583.2408
84|84|84|84|84|84|84|84|84.0|84|FDR12||Regular|0.031382044|Baking Goods|171.3764|OUT027|1985|Medium|Tier 3|Supermarket Type3|3091.9752
85|85|85|85|85|85|85|85|Allez au boulot ! :)|85|FDG20|15.5|Regular|0.12639886|Fruits and Vegetables|177.0028|OUT017|2007||Tier 2|Supermarket Type1|2479.4392
86|86|86|86|86|86|86|86|86.0|86|FDZ55|6.055|Low Fat|0.025403897999999998|Fruits and Vegetables|160.99200000000005|OUT035|2004|Small|Tier 2|Supermarket Type1|2716.4640000000004
87|87|87|87|87|87|87|87|87.0|87|FDQ49||Regular|0.039057677|Breakfast|155.963|OUT027|1985|Medium|Tier 3|Supermarket Type3|3285.723
88|88|88|88|88|88|88|88|88.0|88|FDN33|6.305|Regular|0.123115764|Snack Foods|95.6436|OUT046|1997|Small|Tier 1|Supermarket Type1|661.8052
89|89|89|89|89|89|89|89|89.0|89|FDN27|20.85|Low Fat|0.039624006|Meat|117.2808|OUT049|1999|Medium|Tier 1|Supermarket Type1|1523.3504
90|90|90|90|90|90|90|90|90.0|90|FDW20|20.75|Low Fat|0.040421193|Fruits and Vegetables|122.17299999999999|OUT010|1998||Tier 3|Grocery Store|369.519
91|91|91|91|91|91|91|91|91.0|91|DRG27|8.895|Low Fat|0.10527411099999999|Dairy|39.9138|OUT049|1999|Medium|Tier 1|Supermarket Type1|690.4346
92|92|92|92|92|92|92|92|92.0|92|DRI25|19.6|Low Fat|0.033970195|Soft Drinks|55.1614|OUT045|2002||Tier 2|Supermarket Type1|1381.535
93|93|93|93|93|93|93|93|93.0|93|FDA44|19.7||0.053212652|Fruits and Vegetables|57.893|OUT035|2004|Small|Tier 2|Supermarket Type1|622.523
94|94|94|94|94|94|94|94|94.0|94|NCR17|9.8|Low Fat|0.024378706|Health and Hygiene|114.5492|OUT035|2004|Small|Tier 2|Supermarket Type1|1274.3412
95|95|95|95|95|95|95|95|95.0|95|FDU04||Low Fat|0.009714595|Frozen Foods|120.0414|OUT019|1985|Small|Tier 1|Grocery Store|487.3656
96|96|96|96|96|96|96|96|96.0|96|FDF41|12.15|Low Fat|0.131383762|Frozen Foods|246.046|OUT049|1999|Medium|Tier 1|Supermarket Type1|1231.73
97|97|97|97|97|97|97|97|97.0|97|FDB56|8.75|Regular|0.07461309|Fruits and Vegetables|187.4556|OUT035|2004|Small|Tier 2|Supermarket Type1|3755.112
98|98|98|98|98|98|98|98|98.0|98|NCP18||Low Fat|0.028459761|Household|149.9708|OUT027|1985|Medium|Tier 3|Supermarket Type3|4363.6532
99|99|99|99|99|99|99|99|99.0|99|FDB56|8.75|Regular|0.07462720099999999|Fruits and Vegetables|187.8556|OUT046|1997|Small|Tier 1|Supermarket Type1|1314.2892
100|100|100|100|100|100|100|100|100.0|100|FDT28|13.3|Low Fat|0.063695084|Frozen Foods|151.0708|OUT045|2002||Tier 2|Supermarket Type1|1805.6496
101|101|101|101|101|101|101|101|101.0|101|FDD10||Regular|0.045797829000000005|Snack Foods|178.5344|OUT027|1985|Medium|Tier 3|Supermarket Type3|2854.9504
102|102|102|102|102|102|102|102|102.0|102|FDW57|8.31|Regular|0.11585722300000001|Snack Foods|179.1028|OUT049|1999|Medium|Tier 1|Supermarket Type1|3896.2616
103|103|103|103|103|103|103|103|103.0|103|DRB48|16.75|Regular|0.024832806000000002|Soft Drinks|38.7822|OUT013|1987|High|Tier 3|Supermarket Type1|667.7974
104|104|104|104|104|104|104|104|104.0|104|FDP09|19.75|Low Fat|0.034027909|Snack Foods|212.0902|OUT018|2009|Medium|Tier 3|Supermarket Type2|3185.853
105|105|105|105|105|105|105|105|105.0|105|FDH14|17.1|Regular|0.046769599999999995|Canned|141.1838|OUT013|1987|High|Tier 3|Supermarket Type1|2247.7408
106|106|106|106|106|106|106|106|106.0|106|FDA47|10.5|Regular|0.11657670199999999|Baking Goods|163.121|OUT013|1987|High|Tier 3|Supermarket Type1|1794.3310000000001
107|107|107|107|107|107|107|107|107.0|107|FDG12|6.635|Regular|0.0|Baking Goods|121.3098|OUT045|2002||Tier 2|Supermarket Type1|2530.7058
108|108|108|108|108|108|108|108|hello|108|DRE60||low fat|0.278974075|Soft Drinks|225.372|OUT019|1985|Small|Tier 1|Grocery Store|679.1160000000001
109|109|109|109|109|109|109|109|109.0|109|DRK49|14.15|Low Fat|0.035913805|Soft Drinks|41.4138|OUT013|1987|High|Tier 3|Supermarket Type1|812.2760000000003
110|110|110|110|110|110|110|110|110.0|110|FDD03|13.3|Low Fat|0.079806266|Dairy|232.53|OUT046|1997|Small|Tier 1|Supermarket Type1|699.09
111|111|111|111|111|111|111|111|111.0|111|FDS52|8.89|low fat|0.005505481|Frozen Foods|102.4016|OUT017|2007||Tier 2|Supermarket Type1|2732.4432
112|112|112|112|112|112|112|112|112.0|112|FDW39||Regular|0.064625342|Meat|176.937|OUT019|1985|Small|Tier 1|Grocery Store|176.437
113|113|113|113|113|113|113|113|113.0|113|FDX34||Low Fat|0.071636937|Snack Foods|121.7098|OUT027|1985|Medium|Tier 3|Supermarket Type3|4097.3332
114|114|114|114|114|114|114|114|114.0|114|FDV11|9.1|Regular|0.0|Breads|173.2054|OUT045|2002||Tier 2|Supermarket Type1|3151.8972
115|115|115|115|115|115|115|115|115.0|115|FDD17|7.5|Low Fat|0.032677677999999995|Frozen Foods|239.0906|OUT049|1999|Medium|Tier 1|Supermarket Type1|5942.265
116|116|116|116|116|116|116|116|116.0|116|FDZ16|16.85|Regular|0.160760054|Frozen Foods|192.4478|OUT017|2007||Tier 2|Supermarket Type1|4843.695
117|117|117|117|117|117|117|117|117.0|117|FDZ46|7.485|Low Fat|0.06911065|Snack Foods|109.0228|OUT035|2004|Small|Tier 2|Supermarket Type1|2542.0244
118|118|118|118|118|118|118|118|118.0|118|DRA12|11.6|Low Fat|0.041177505|Soft Drinks|140.3154|OUT017|2007||Tier 2|Supermarket Type1|2552.6772
119|119|119|119|119|119|119|119|119.0|119|FDY58|11.65|Low Fat|0.040081193|Snack Foods|227.0694|OUT018|2009|Medium|Tier 3|Supermarket Type2|1141.847
120|120|120|120|120|120|120|120|120.0|120|NCF19|13.0|Low Fat|0.035307322|Household|47.5034|OUT017|2007||Tier 2|Supermarket Type1|680.4476
121|121|121|121|121|121|121|121|121.0|121|DRJ13|12.65|LF|0.063017847|Soft Drinks|159.0578|OUT045|2002||Tier 2|Supermarket Type1|2085.9514
122|122|122|122|122|122|122|122|122.0|122|FDB14|20.25|Regular|0.171938781|Canned|92.512|OUT010|1998||Tier 3|Grocery Store|186.424
123|123|123|123|123|123|123|123|123.0|123|FDJ38|8.6|Regular|0.040197932|Canned|190.153|OUT035|2004|Small|Tier 2|Supermarket Type1|3036.048
124|124|124|124|124|124|124|124|124.0|124|FDW11|12.6|Low Fat|0.049058014000000004|Breads|62.7194|OUT017|2007||Tier 2|Supermarket Type1|866.8716
125|125|125|125|125|125|125|125|125.0|125|FDL40|17.7|Low Fat|0.01161096|Frozen Foods|95.041|OUT035|2004|Small|Tier 2|Supermarket Type1|868.8689999999997
126|126|126|126|126|126|126|126|126.0|126|DRI49|14.15|Low Fat|0.183507295|Soft Drinks|82.4276|OUT046|1997|Small|Tier 1|Supermarket Type1|1137.1864
127|127|127|127|127|127|127|127|127.0|127|FDV38|19.25|Low Fat|0.102349519|Dairy|52.7956|OUT017|2007||Tier 2|Supermarket Type1|928.1252
128|128|128|128|128|128|128|128|128.0|128|DRG23|8.88|Low Fat|0.08670898699999999|Hard Drinks|151.7682|OUT013|1987|High|Tier 3|Supermarket Type1|762.341
129|129|129|129|129|129|129|129|129.0|129|NCP30|20.5|Low Fat|0.032835147|Household|40.2822|OUT045|2002||Tier 2|Supermarket Type1|707.0796
130|130|130|130|130|130|130|130|130.0|130|FDY25||Low Fat|0.033809913|Canned|180.5976|OUT027|1985|Medium|Tier 3|Supermarket Type3|7968.2944
131|131|131|131|131|131|131|131|131.0|131|NCH54|13.5|Low Fat|0.07266912|Household|160.292|OUT046|1997|Small|Tier 1|Supermarket Type1|1438.128
132|132|132|132|132|132|132|132|132.0|132|NCR53||Low Fat|0.144338493|Health and Hygiene|224.4404|OUT027|1985|Medium|Tier 3|Supermarket Type3|6976.2524
133|133|133|133|133|133|133|133|133.0|133|FDS52|8.89|Low Fat|0.009163216|Frozen Foods|101.7016|OUT010|1998||Tier 3|Grocery Store|101.2016
134|134|134|134|134|134|134|134|134.0|134|FDG02|7.855|Low Fat|0.011307038|Canned|188.5188|OUT018|2009|Medium|Tier 3|Supermarket Type2|952.0939999999999
135|135|135|135|135|135|135|135|135.0|135|NCO26|7.235|Low Fat|0.076855628|Household|116.0492|OUT046|1997|Small|Tier 1|Supermarket Type1|1969.4364
136|136|136|136|136|136|136|136|136.0|136|FDH35||Low Fat|0.059956876|Starchy Foods|165.4526|OUT027|1985|Medium|Tier 3|Supermarket Type3|5262.4832
137|137|137|137|137|137|137|137|137.0|137|FDB51|6.92|Low Fat|0.038532062|Dairy|60.5852|OUT045|2002||Tier 2|Supermarket Type1|1314.2892
138|138|138|138|138|138|138|138|138.0|138|FDX44|9.3|Low Fat|0.043209581|Fruits and Vegetables|90.8172|OUT017|2007||Tier 2|Supermarket Type1|535.3032
139|139|139|139|139|139|139|139|139.0|139|NCN07|18.5|Low Fat|0.056816465|Others|132.1284|OUT010|1998||Tier 3|Grocery Store|263.6568
140|140|140|140|140|140|140|140|140.0|140|NCC31|8.02|Low Fat|0.019866705|Household|154.5972|OUT035|2004|Small|Tier 2|Supermarket Type1|1402.1748
141|141|141|141|141|141|141|141|141.0|141|NCX54|9.195|Low Fat|0.048331717|Household|105.1622|OUT017|2007||Tier 2|Supermarket Type1|1693.7952
142|142|142|142|142|142|142|142|142.0|142|NCO55|12.8|Low Fat|0.091221855|Others|105.5938|OUT045|2002||Tier 2|Supermarket Type1|2143.876
143|143|143|143|143|143|143|143|143.0|143|NCC30|16.6|Low Fat|0.027622076000000002|Household|177.6344|OUT049|1999|Medium|Tier 1|Supermarket Type1|2676.5159999999996
144|144|144|144|144|144|144|144|144.0|144|FDI16|14.0|Regular|0.0|Frozen Foods|53.06399999999999|OUT035|2004|Small|Tier 2|Supermarket Type1|905.488
145|145|145|145|145|145|145|145|145.0|145|FDP16|18.6|Low Fat|0.039355947|Frozen Foods|246.3802|OUT049|1999|Medium|Tier 1|Supermarket Type1|7370.406
146|146|146|146|146|146|146|146|146.0|146|FDB11|16.0|Low Fat|0.060836524|Starchy Foods|226.8404|OUT035|2004|Small|Tier 2|Supermarket Type1|6301.1312
147|147|147|147|147|147|147|147|147.0|147|NCB06|17.6|Low Fat|0.082316506|Health and Hygiene|160.692|OUT035|2004|Small|Tier 2|Supermarket Type1|1597.92
148|148|148|148|148|148|148|148|148.0|148|FDA45|21.25|Low Fat|0.155350299|Snack Foods|178.237|OUT035|2004|Small|Tier 2|Supermarket Type1|529.311
149|149|149|149|149|149|149|149|149.0|149|NCO26|7.235|Low Fat|0.076841095|Household|117.5492|OUT035|2004|Small|Tier 2|Supermarket Type1|1969.4364
150|150|150|150|150|150|150|150|150.0|150|DRJ25|14.6|Low Fat|0.151419185|Soft Drinks|50.3692|OUT017|2007||Tier 2|Supermarket Type1|1034.6532
151|151|151|151|151|151|151|151|151.0|151|FDR28|13.85|reg|0.026001976|Frozen Foods|161.52100000000004|OUT018|2009|Medium|Tier 3|Supermarket Type2|1794.3310000000001
152|152|152|152|152|152|152|152|152.0|152|FDI04|13.65|Regular|0.073209447|Frozen Foods|197.6426|OUT018|2009|Medium|Tier 3|Supermarket Type2|2768.3964
153|153|153|153|153|153|153|153|153.0|153|DRK12||Low Fat|0.041683481|Soft Drinks|31.29|OUT027|1985|Medium|Tier 3|Supermarket Type3|898.83
154|154|154|154|154|154|154|154|154.0|154|FDX20|7.365|Low Fat|0.042560252|Fruits and Vegetables|226.172|OUT046|1997|Small|Tier 1|Supermarket Type1|3169.208
155|155|155|155|155|155|155|155|155.0|155|NCI18|18.35|Low Fat|0.014081156000000001|Household|223.5746|OUT018|2009|Medium|Tier 3|Supermarket Type2|3589.9936
156|156|156|156|156|156|156|156|156.0|156|FDB36|5.465|Regular|0.0|Baking Goods|132.5626|OUT018|2009|Medium|Tier 3|Supermarket Type2|262.3252
157|157|157|157|157|157|157|157|157.0|157|FDN13|18.6|Low Fat|0.152918384|Breakfast|99.8358|OUT017|2007||Tier 2|Supermarket Type1|1910.1802
158|158|158|158|158|158|158|158|158.0|158|DRD24|13.85|Low Fat|0.030969273999999998|Soft Drinks|140.9154|OUT017|2007||Tier 2|Supermarket Type1|1701.7848
